<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRWBRL,D,20200727,000000,0.43695,0.43695,0.43695,0.43695,0,0
KRWBTC,D,20200727,000000,0.08369,0.08386,0.08101,0.08117,0,0
KRWCAD,D,20200727,000000,11.1675,11.1998,11.1641,11.1912,0,0
KRWCHF,D,20200727,000000,7.66349,7.68273,7.66283,7.67337,0,0
KRWCLP,D,20200727,000000,0.64644,0.64644,0.64644,0.64644,0,0
KRWCNY,D,20200727,000000,0.58369,0.58592,0.58369,0.58537,0,0
KRWCZK,D,20200727,000000,1.87508,1.87775,1.8725,1.87492,0,0
KRWDKK,D,20200727,000000,0.53152,0.53236,0.53092,0.53164,0,0
KRWEGP,D,20200727,000000,1.33467,1.33467,1.33467,1.33467,0,0
KRWEUR,D,20200727,000000,7.14168,7.15338,7.13302,7.1435,0,0
KRWGBP,D,20200727,000000,6.50169,6.52076,6.49981,6.51791,0,0
KRWHKD,D,20200727,000000,0.64511,0.64883,0.6451,0.64805,0,0
KRWHRK,D,20200727,000000,0.53662,0.53662,0.53662,0.53662,0,0
KRWHUF,D,20200727,000000,0.24728,0.24759,0.24659,0.24684,0,0
KRWIDR,D,20200727,000000,12.1234,12.1234,12.1234,12.1234,0,0
KRWILS,D,20200727,000000,0.2849,0.2849,0.2849,0.2849,0,0
KRWINR,D,20200727,000000,6.24832,6.25016,6.24123,6.24713,0,0
KRWISK,D,20200727,000000,11.2802,11.2802,11.2802,11.2802,0,0
KRWJPY,D,20200727,000000,8.81864,8.85055,8.81709,8.83083,0,0
KRWMXN,D,20200727,000000,1.85602,1.8601,1.85598,1.85837,0,0
KRWMYR,D,20200727,000000,0.35499,0.35582,0.35491,0.35543,0,0
KRWNAD,D,20200727,000000,1.38738,1.39537,1.38738,1.39368,0,0
KRWNOK,D,20200727,000000,0.76253,0.76326,0.75909,0.76067,0,0
KRWNZD,D,20200727,000000,12.5229,12.5555,12.516,12.5306,0,0
KRWPHP,D,20200727,000000,4.11879,4.11879,4.11008,4.11178,0,0
KRWPLN,D,20200727,000000,0.3146,0.31502,0.31404,0.31449,0,0
KRWRON,D,20200727,000000,0.34466,0.34466,0.34466,0.34466,0,0
KRWRUB,D,20200727,000000,5.97529,5.97529,5.97529,5.97529,0,0
KRWSEK,D,20200727,000000,0.73559,0.73655,0.73422,0.73525,0,0
KRWSGD,D,20200727,000000,11.4982,11.5432,11.4982,11.5387,0,0
KRWTHB,D,20200727,000000,2.62987,2.64028,2.6298,2.63506,0,0
KRWTRY,D,20200727,000000,56.9726,57.2961,56.9726,57.2275,0,0
KRWTWD,D,20200727,000000,2.45897,2.45959,2.45485,2.45585,0,0
KRWUAH,D,20200727,000000,2.31785,2.31785,2.31785,2.31785,0,0
KRWUSD,D,20200727,000000,8.32238,8.3703,8.32238,8.36016,0,0
KRWXAG,D,20200727,000000,0.36043,0.36427,0.34311,0.3456,0,0
KRWXAU,D,20200727,000000,0.43467,0.4365,0.43029,0.43182,0,0
KRWXDR,D,20200727,000000,5.93388,5.93388,5.93388,5.93388,0,0
KRWXPD,D,20200727,000000,0.37306,0.37789,0.37145,0.37268,0,0
KRWXPT,D,20200727,000000,0.89329,0.90688,0.88581,0.88726,0,0
KRWZAR,D,20200727,000000,1.38695,1.3896,1.38468,1.38749,0,0
MXNARS,D,20200727,000000,3.2592,3.28045,3.24973,3.27706,0,0
MXNAUD,D,20200727,000000,6.31623,6.37893,6.29674,6.37652,0,0
MXNBGN,D,20200727,000000,7.51288,7.51288,7.51288,7.51288,0,0
MXNBRL,D,20200727,000000,0.23469,0.23597,0.23443,0.23522,0,0
MXNBTC,D,20200727,000000,0.04534,0.04534,0.04162,0.04202,0,0
MXNCAD,D,20200727,000000,6.01669,6.09178,6.01214,6.08437,0,0
MXNCHF,D,20200727,000000,4.13236,4.18875,4.1245,4.18731,0,0
MXNCLP,D,20200727,000000,34.7992,34.9722,34.7017,34.8476,0,0
MXNCNY,D,20200727,000000,0.31449,0.31567,0.31444,0.3153,0,0
MXNCZK,D,20200727,000000,1.01038,1.01535,1.00503,1.01408,0,0
MXNDKK,D,20200727,000000,0.28647,0.28825,0.28541,0.28813,0,0
MXNEGP,D,20200727,000000,0.71946,0.72273,0.71717,0.7214,0,0
MXNEUR,D,20200727,000000,3.84941,3.87319,3.83473,3.87132,0,0
MXNGBP,D,20200727,000000,3.5049,3.53423,3.49778,3.53395,0,0
MXNHKD,D,20200727,000000,0.3476,0.35277,0.34725,0.35263,0,0
MXNHRK,D,20200727,000000,0.28871,0.28871,0.28871,0.28871,0,0
MXNHUF,D,20200727,000000,13.3217,13.3982,13.2568,13.3921,0,0
MXNIDR,D,20200727,000000,652.266,652.266,652.266,652.266,0,0
MXNILS,D,20200727,000000,0.15361,0.15533,0.15311,0.15512,0,0
MXNINR,D,20200727,000000,3.36244,3.37118,3.35888,3.36566,0,0
MXNISK,D,20200727,000000,6.07542,6.12585,6.05973,6.12565,0,0
MXNJPY,D,20200727,000000,4.75494,4.79047,4.73553,4.78985,0,0
MXNKRW,D,20200727,000000,53.8786,53.8798,53.7605,53.8106,0,0
MXNMYR,D,20200727,000000,0.19124,0.19167,0.19104,0.1911,0,0
MXNNAD,D,20200727,000000,0.74753,0.75053,0.7406,0.7468,0,0
MXNNOK,D,20200727,000000,0.4114,0.41446,0.40856,0.41417,0,0
MXNNZD,D,20200727,000000,6.7503,6.81197,6.73491,6.80978,0,0
MXNPHP,D,20200727,000000,2.21596,2.22033,2.21151,2.21307,0,0
MXNPLN,D,20200727,000000,0.1697,0.17013,0.16878,0.17005,0,0
MXNRON,D,20200727,000000,0.18568,0.18672,0.1853,0.1866,0,0
MXNRUB,D,20200727,000000,3.22442,3.26254,3.21191,3.25962,0,0
MXNSEK,D,20200727,000000,0.39626,0.39786,0.39365,0.39768,0,0
MXNSGD,D,20200727,000000,6.20157,6.27596,6.19355,6.2738,0,0
MXNTHB,D,20200727,000000,1.41836,1.43275,1.41632,1.43159,0,0
MXNTRY,D,20200727,000000,0.30691,0.31547,0.30661,0.31537,0,0
MXNTWD,D,20200727,000000,1.32295,1.32309,1.31846,1.31884,0,0
MXNUAH,D,20200727,000000,1.24705,1.24705,1.24705,1.24705,0,0
MXNUSD,D,20200727,000000,4.48414,4.55135,4.47968,4.5492,0,0
MXNXAG,D,20200727,000000,0.19693,0.19702,0.18347,0.18729,0,0
MXNXAU,D,20200727,000000,0.23591,0.23599,0.23135,0.23507,0,0
MXNXDR,D,20200727,000000,3.19255,3.19255,3.19255,3.19255,0,0
MXNXPD,D,20200727,000000,0.20136,0.20322,0.19455,0.19808,0,0
MXNXPT,D,20200727,000000,0.48987,0.49013,0.47616,0.48731,0,0
MXNZAR,D,20200727,000000,0.74851,0.74991,0.74056,0.74711,0,0
MYRARS,D,20200727,000000,16.9052,16.9052,16.9052,16.9052,0,0
MYRAUD,D,20200727,000000,0.33011,0.33079,0.3292,0.32979,0,0
MYRBGN,D,20200727,000000,0.39328,0.39328,0.39328,0.39328,0,0
MYRBRL,D,20200727,000000,1.23064,1.23064,1.23064,1.23064,0,0
MYRBTC,D,20200727,000000,0.00236,0.00236,0.00228,0.00231,0,0
MYRCAD,D,20200727,000000,0.31468,0.31522,0.31452,0.31481,0,0
MYRCHF,D,20200727,000000,0.2161,0.21627,0.21563,0.21606,0,0
MYRCLP,D,20200727,000000,182.065,182.065,182.065,182.065,0,0
MYRCNY,D,20200727,000000,1.64584,1.6479,1.64473,1.64684,0,0
MYRCZK,D,20200727,000000,5.28326,5.28627,5.26347,5.27099,0,0
MYRDKK,D,20200727,000000,1.49788,1.49893,1.49341,1.49602,0,0
MYREGP,D,20200727,000000,3.76029,3.76646,3.75633,3.76527,0,0
MYREUR,D,20200727,000000,0.20126,0.2014,0.20063,0.20101,0,0
MYRGBP,D,20200727,000000,0.18327,0.18363,0.18291,0.18326,0,0
MYRHKD,D,20200727,000000,1.81937,1.82367,1.81931,1.82274,0,0
MYRHRK,D,20200727,000000,1.51135,1.51135,1.51135,1.51135,0,0
MYRHUF,D,20200727,000000,69.6507,69.7026,69.27,69.4535,0,0
MYRIDR,D,20200727,000000,34.1446,34.1446,34.1446,34.1446,0,0
MYRILS,D,20200727,000000,0.80322,0.80322,0.80127,0.80174,0,0
MYRINR,D,20200727,000000,17.5731,17.6118,17.5647,17.606,0,0
MYRISK,D,20200727,000000,31.7087,31.7525,31.694,31.7294,0,0
MYRJPY,D,20200727,000000,24.8834,24.9162,24.7889,24.8248,0,0
MYRKRW,D,20200727,000000,281.696,281.764,281.042,281.35,0,0
MYRMXN,D,20200727,000000,5.22897,5.23448,5.21718,5.23285,0,0
MYRNAD,D,20200727,000000,3.91279,3.92199,3.88617,3.89205,0,0
MYRNOK,D,20200727,000000,2.14576,2.14965,2.13598,2.14251,0,0
MYRNZD,D,20200727,000000,0.35276,0.35346,0.35208,0.35282,0,0
MYRPHP,D,20200727,000000,11.5863,11.5866,11.56,11.5807,0,0
MYRPLN,D,20200727,000000,0.88641,0.88701,0.88325,0.88591,0,0
MYRRON,D,20200727,000000,0.97094,0.9711,0.96932,0.97042,0,0
MYRRUB,D,20200727,000000,16.8288,16.8631,16.8079,16.8394,0,0
MYRSEK,D,20200727,000000,2.07263,2.07384,2.06446,2.06649,0,0
MYRSGD,D,20200727,000000,0.32419,0.32484,0.32412,0.32465,0,0
MYRTHB,D,20200727,000000,7.41228,7.43077,7.40731,7.42618,0,0
MYRTRY,D,20200727,000000,1.60679,1.61096,1.60669,1.61033,0,0
MYRTWD,D,20200727,000000,6.91788,6.91788,6.89944,6.9013,0,0
MYRUAH,D,20200727,000000,6.52802,6.52802,6.52802,6.52802,0,0
MYRUSD,D,20200727,000000,0.23471,0.23527,0.23471,0.23515,0,0
MYRXAG,D,20200727,000000,1.01696,1.02494,0.96489,0.97981,0,0
MYRXAU,D,20200727,000000,1.22428,1.22787,1.20989,1.21621,0,0
MYRXDR,D,20200727,000000,0.16712,0.16712,0.16712,0.16712,0,0
MYRXPD,D,20200727,000000,1.05181,1.06305,1.04198,1.04672,0,0
MYRXPT,D,20200727,000000,2.51933,2.55136,2.48626,2.49885,0,0
MYRZAR,D,20200727,000000,3.90836,3.91197,3.88652,3.89336,0,0
NADARS,D,20200727,000000,4.3687,4.39727,4.36168,4.38691,0,0
NADAUD,D,20200727,000000,8.44948,8.54727,8.39459,8.5385,0,0
NADBGN,D,20200727,000000,0.10121,0.10121,0.10121,0.10121,0,0
NADBRL,D,20200727,000000,0.31572,0.3167,0.31405,0.31489,0,0
NADBTC,D,20200727,000000,0.06066,0.06066,0.05571,0.05626,0,0
NADCAD,D,20200727,000000,8.04877,8.16194,8.02094,8.1473,0,0
NADCHF,D,20200727,000000,5.52803,5.61444,5.49876,5.60703,0,0
NADCLP,D,20200727,000000,46.8133,46.858,46.5703,46.7404,0,0
NADCNY,D,20200727,000000,0.42072,0.42573,0.41976,0.42573,0,0
NADCZK,D,20200727,000000,1.35162,1.36068,1.34219,1.35791,0,0
NADDKK,D,20200727,000000,0.38322,0.38642,0.38082,0.38582,0,0
NADEGP,D,20200727,000000,0.96322,0.97463,0.96322,0.97284,0,0
NADEUR,D,20200727,000000,5.14952,5.19176,5.11616,5.18391,0,0
NADGBP,D,20200727,000000,4.68864,4.7368,4.66549,4.73215,0,0
NADHKD,D,20200727,000000,0.465,0.47283,0.46496,0.47219,0,0
NADHRK,D,20200727,000000,0.38895,0.38895,0.38895,0.38895,0,0
NADHUF,D,20200727,000000,17.8209,17.9655,17.6791,17.9327,0,0
NADIDR,D,20200727,000000,878.72,878.72,878.72,878.72,0,0
NADILS,D,20200727,000000,0.20576,0.20822,0.20548,0.20798,0,0
NADINR,D,20200727,000000,4.48115,4.54448,4.47905,4.54448,0,0
NADISK,D,20200727,000000,8.15153,8.21389,8.13552,8.20024,0,0
NADJPY,D,20200727,000000,6.36088,6.41947,6.32644,6.41386,0,0
NADKRW,D,20200727,000000,72.0782,72.0782,71.6655,71.7525,0,0
NADMXN,D,20200727,000000,1.33774,1.35025,1.3324,1.33905,0,0
NADMYR,D,20200727,000000,0.25557,0.25732,0.25497,0.25693,0,0
NADNOK,D,20200727,000000,0.55035,0.55567,0.54468,0.5546,0,0
NADNZD,D,20200727,000000,0.0903,0.09124,0.08979,0.09119,0,0
NADPHP,D,20200727,000000,2.95798,2.98075,2.94802,2.97547,0,0
NADPLN,D,20200727,000000,0.22702,0.22854,0.22523,0.22769,0,0
NADRON,D,20200727,000000,0.24872,0.25075,0.24838,0.25018,0,0
NADRUB,D,20200727,000000,4.32628,4.37016,4.31789,4.37016,0,0
NADSEK,D,20200727,000000,0.5301,0.5329,0.52644,0.53251,0,0
NADSGD,D,20200727,000000,0.08296,0.08408,0.0827,0.08401,0,0
NADTHB,D,20200727,000000,1.8974,1.92036,1.89011,1.91698,0,0
NADTRY,D,20200727,000000,0.41056,0.42235,0.41036,0.4223,0,0
NADTWD,D,20200727,000000,1.76595,1.77634,1.76212,1.77318,0,0
NADUAH,D,20200727,000000,1.68,1.68,1.68,1.68,0,0
NADUSD,D,20200727,000000,5.99862,6.10016,5.99862,6.09162,0,0
NADXAG,D,20200727,000000,0.26344,0.26356,0.24605,0.25079,0,0
NADXAU,D,20200727,000000,0.31559,0.31569,0.30852,0.31477,0,0
NADXDR,D,20200727,000000,4.30094,4.30094,4.30094,4.30094,0,0
NADXPD,D,20200727,000000,0.26936,0.2713,0.26232,0.26525,0,0
NADXPT,D,20200727,000000,0.65532,0.65532,0.63584,0.65254,0,0
NADZAR,D,20200727,000000,1.00131,1.00261,0.99345,1.00041,0,0
NOKARS,D,20200727,000000,7.91024,7.93818,7.87962,7.91157,0,0
NOKAUD,D,20200727,000000,0.15355,0.1544,0.15332,0.15396,0,0
NOKBGN,D,20200727,000000,0.18358,0.18358,0.18358,0.18358,0,0
NOKBRL,D,20200727,000000,0.57092,0.57276,0.56613,0.56788,0,0
NOKBTC,D,20200727,000000,0.11021,0.11034,0.10046,0.10144,0,0
NOKCAD,D,20200727,000000,0.14622,0.14752,0.14599,0.1469,0,0
NOKCHF,D,20200727,000000,10.0438,10.1594,10.0231,10.1107,0,0
NOKCLP,D,20200727,000000,84.6539,84.7526,84.1229,84.2136,0,0
NOKCNY,D,20200727,000000,0.76546,0.77085,0.76531,0.76912,0,0
NOKCZK,D,20200727,000000,2.45594,2.4732,2.4419,2.44844,0,0
NOKDKK,D,20200727,000000,0.69642,0.69959,0.69392,0.69567,0,0
NOKEGP,D,20200727,000000,1.75636,1.76199,1.74751,1.75725,0,0
NOKEUR,D,20200727,000000,9.35879,9.40079,9.3237,9.34793,0,0
NOKGBP,D,20200727,000000,8.5193,8.57278,8.50675,8.5328,0,0
NOKHKD,D,20200727,000000,0.84492,0.85464,0.84323,0.8514,0,0
NOKHRK,D,20200727,000000,0.70548,0.70548,0.70548,0.70548,0,0
NOKHUF,D,20200727,000000,32.3897,32.4964,32.1899,32.3344,0,0
NOKIDR,D,20200727,000000,15.9383,15.9383,15.9383,15.9383,0,0
NOKILS,D,20200727,000000,0.37532,0.37626,0.37301,0.37448,0,0
NOKINR,D,20200727,000000,8.21531,8.22868,8.18878,8.20999,0,0
NOKISK,D,20200727,000000,14.7994,14.8482,14.7498,14.7887,0,0
NOKJPY,D,20200727,000000,11.5571,11.6252,11.5292,11.5655,0,0
NOKKRW,D,20200727,000000,131.142,131.737,131.017,131.463,0,0
NOKMXN,D,20200727,000000,2.43071,2.44761,2.41278,2.41444,0,0
NOKMYR,D,20200727,000000,0.46604,0.46817,0.46519,0.46674,0,0
NOKNAD,D,20200727,000000,1.81703,1.83594,1.79961,1.80309,0,0
NOKNZD,D,20200727,000000,0.16409,0.16504,0.16384,0.16442,0,0
NOKPHP,D,20200727,000000,5.41067,5.41639,5.38818,5.40518,0,0
NOKPLN,D,20200727,000000,0.41254,0.41428,0.4098,0.41059,0,0
NOKRON,D,20200727,000000,0.4537,0.45382,0.45103,0.45107,0,0
NOKRUB,D,20200727,000000,7.85451,7.90233,7.83753,7.87932,0,0
NOKSEK,D,20200727,000000,0.96332,0.96738,0.95817,0.96023,0,0
NOKSGD,D,20200727,000000,0.15074,0.15202,0.15041,0.15148,0,0
NOKTHB,D,20200727,000000,3.44763,3.47373,3.44029,3.45649,0,0
NOKTRY,D,20200727,000000,74.6003,76.1832,74.4595,76.1442,0,0
NOKTWD,D,20200727,000000,3.23014,3.23615,3.20964,3.22113,0,0
NOKUAH,D,20200727,000000,3.0472,3.0472,3.0472,3.0472,0,0
NOKUSD,D,20200727,000000,10.8981,11.0267,10.8782,10.9841,0,0
NOKXAG,D,20200727,000000,0.47928,0.4796,0.44731,0.45219,0,0
NOKXAU,D,20200727,000000,0.57307,0.57432,0.56484,0.56757,0,0
NOKXDR,D,20200727,000000,7.80108,7.80108,7.80108,7.80108,0,0
NOKXPD,D,20200727,000000,0.49027,0.49634,0.47337,0.47826,0,0
NOKXPT,D,20200727,000000,1.19074,1.19346,1.15993,1.17658,0,0
NOKZAR,D,20200727,000000,1.81941,1.82768,1.79966,1.80384,0,0
NZDARS,D,20200727,000000,48.1273,48.2438,47.948,48.1511,0,0
NZDAUD,D,20200727,000000,0.93579,0.93705,0.93432,0.93638,0,0
NZDBGN,D,20200727,000000,1.11405,1.11405,1.11405,1.11405,0,0
NZDBRL,D,20200727,000000,3.46198,3.48285,3.44787,3.45623,0,0
NZDBTC,D,20200727,000000,0.00672,0.00672,0.00611,0.00617,0,0
NZDCAD,D,20200727,000000,0.89112,0.89664,0.89073,0.89347,0,0
NZDCHF,D,20200727,000000,0.61187,0.61629,0.6114,0.6149,0,0
NZDCLP,D,20200727,000000,513.328,514.591,511.844,512.595,0,0
NZDCNY,D,20200727,000000,4.661,4.67679,4.661,4.67402,0,0
NZDCZK,D,20200727,000000,14.9679,15.043,14.8691,14.8916,0,0
NZDDKK,D,20200727,000000,4.24416,4.24752,4.22496,4.2311,0,0
NZDEGP,D,20200727,000000,10.6676,10.694,10.6335,10.6782,0,0
NZDEUR,D,20200727,000000,0.57028,0.57072,0.56768,0.56849,0,0
NZDGBP,D,20200727,000000,0.51921,0.52094,0.51836,0.51895,0,0
NZDHKD,D,20200727,000000,5.1494,5.18777,5.1437,5.17827,0,0
NZDHRK,D,20200727,000000,4.2812,4.2812,4.2812,4.2812,0,0
NZDHUF,D,20200727,000000,197.391,197.579,195.796,196.659,0,0
NZDIDR,D,20200727,000000,96.7213,96.7213,96.7213,96.7213,0,0
NZDILS,D,20200727,000000,2.27839,2.28663,2.27096,2.28159,0,0
NZDINR,D,20200727,000000,49.8761,49.9496,49.7948,49.8929,0,0
NZDISK,D,20200727,000000,89.9639,90.1594,89.8049,90.0066,0,0
NZDJPY,D,20200727,000000,70.4232,70.5504,70.1916,70.3398,0,0
NZDKRW,D,20200727,000000,798.535,798.978,796.465,798.045,0,0
NZDMXN,D,20200727,000000,14.8142,14.848,14.68,14.6848,0,0
NZDMYR,D,20200727,000000,2.83476,2.84027,2.82916,2.8343,0,0
NZDNAD,D,20200727,000000,11.074,11.1374,10.9596,10.9665,0,0
NZDNOK,D,20200727,000000,6.09426,6.10348,6.05922,6.08206,0,0
NZDPHP,D,20200727,000000,32.809,32.8919,32.7934,32.823,0,0
NZDPLN,D,20200727,000000,2.51413,2.51538,2.49314,2.49714,0,0
NZDRON,D,20200727,000000,2.75414,2.75525,2.74163,2.74402,0,0
NZDRUB,D,20200727,000000,47.7467,48.0585,47.6348,47.9329,0,0
NZDSEK,D,20200727,000000,5.86955,5.87772,5.83024,5.83978,0,0
NZDSGD,D,20200727,000000,0.91871,0.92262,0.91748,0.92129,0,0
NZDTHB,D,20200727,000000,21.0118,21.0763,20.9786,21.0226,0,0
NZDTRY,D,20200727,000000,4.54657,4.63447,4.54185,4.63113,0,0
NZDTWD,D,20200727,000000,19.5872,19.6327,19.5453,19.5603,0,0
NZDUAH,D,20200727,000000,18.4919,18.4919,18.4919,18.4919,0,0
NZDXAG,D,20200727,000000,2.92085,2.92265,2.71528,2.75026,0,0
NZDXAU,D,20200727,000000,3.49246,3.4962,3.42857,3.45197,0,0
NZDXDR,D,20200727,000000,0.47341,0.47341,0.47341,0.47341,0,0
NZDXPD,D,20200727,000000,2.98043,3.01158,2.87988,2.90881,0,0
NZDXPT,D,20200727,000000,7.25705,7.25792,7.05138,7.15605,0,0
NZDZAR,D,20200727,000000,11.0885,11.1031,10.9592,10.9711,0,0
NZD_I,D,20200727,000000,92.1579,92.4569,92.0824,92.2925,0,0
PHPARS,D,20200727,000000,146.096,146.096,146.096,146.096,0,0
PHPAUD,D,20200727,000000,2.85105,2.8532,2.84296,2.84779,0,0
PHPBGN,D,20200727,000000,3.39879,3.39879,3.39879,3.39879,0,0
PHPBRL,D,20200727,000000,10.6353,10.6353,10.6353,10.6353,0,0
PHPBTC,D,20200727,000000,0.02018,0.02024,0.0197,0.01997,0,0
PHPCAD,D,20200727,000000,2.71775,2.72262,2.71576,2.71844,0,0
PHPCHF,D,20200727,000000,1.865,1.86763,1.86119,1.86566,0,0
PHPCLP,D,20200727,000000,15.7343,15.7343,15.7343,15.7343,0,0
PHPCNY,D,20200727,000000,0.1421,0.14243,0.1421,0.14221,0,0
PHPCZK,D,20200727,000000,0.45519,0.45612,0.45467,0.45515,0,0
PHPDKK,D,20200727,000000,0.12914,0.12938,0.12897,0.12918,0,0
PHPEGP,D,20200727,000000,0.32458,0.32516,0.32423,0.32513,0,0
PHPEUR,D,20200727,000000,1.73525,1.73845,1.73285,1.7357,0,0
PHPGBP,D,20200727,000000,1.58253,1.58581,1.58084,1.58245,0,0
PHPHKD,D,20200727,000000,0.15719,0.15773,0.15719,0.15739,0,0
PHPHRK,D,20200727,000000,0.13061,0.13061,0.13061,0.13061,0,0
PHPHUF,D,20200727,000000,6.00029,6.01,5.97941,5.99737,0,0
PHPIDR,D,20200727,000000,295.082,295.082,295.082,295.082,0,0
PHPILS,D,20200727,000000,6.93465,6.93536,6.91639,6.92306,0,0
PHPINR,D,20200727,000000,1.51888,1.52065,1.51709,1.5203,0,0
PHPISK,D,20200727,000000,2.74558,2.74558,2.74558,2.74558,0,0
PHPJPY,D,20200727,000000,2.1464,2.14847,2.1399,2.14364,0,0
PHPKRW,D,20200727,000000,24.279,24.3304,24.279,24.3204,0,0
PHPMXN,D,20200727,000000,0.45127,0.45218,0.45038,0.45186,0,0
PHPMYR,D,20200727,000000,8.63089,8.65054,8.63067,8.63508,0,0
PHPNAD,D,20200727,000000,0.33807,0.33921,0.33549,0.33608,0,0
PHPNOK,D,20200727,000000,0.18482,0.18559,0.18462,0.18501,0,0
PHPNZD,D,20200727,000000,3.04794,3.04939,3.04026,3.04664,0,0
PHPPLN,D,20200727,000000,0.07641,0.07654,0.07627,0.0765,0,0
PHPRON,D,20200727,000000,8.38267,8.38383,8.36746,8.3797,0,0
PHPRUB,D,20200727,000000,1.45437,1.45437,1.45437,1.45437,0,0
PHPSEK,D,20200727,000000,0.17866,0.17892,0.1783,0.17844,0,0
PHPSGD,D,20200727,000000,2.80079,2.80666,2.79997,2.80342,0,0
PHPTHB,D,20200727,000000,0.64103,0.64167,0.63971,0.64126,0,0
PHPTRY,D,20200727,000000,13.8824,13.9276,13.8824,13.9054,0,0
PHPTWD,D,20200727,000000,0.59686,0.5979,0.59557,0.59593,0,0
PHPUAH,D,20200727,000000,0.56416,0.56416,0.56416,0.56416,0,0
PHPUSD,D,20200727,000000,2.02795,2.03479,2.02795,2.03058,0,0
PHPXAG,D,20200727,000000,8.83636,8.84407,8.34413,8.46075,0,0
PHPXAU,D,20200727,000000,0.10594,0.10598,0.10462,0.10502,0,0
PHPXDR,D,20200727,000000,1.4443,1.4443,1.4443,1.4443,0,0
PHPXPD,D,20200727,000000,0.09153,0.09159,0.08996,0.09039,0,0
PHPXPT,D,20200727,000000,0.21902,0.22001,0.21461,0.21578,0,0
PHPZAR,D,20200727,000000,0.33716,0.33764,0.3355,0.3362,0,0
PLNARS,D,20200727,000000,19.235,19.3401,19.1787,19.2772,0,0
PLNAUD,D,20200727,000000,0.37221,0.37557,0.37192,0.37501,0,0
PLNBGN,D,20200727,000000,0.44429,0.44429,0.44429,0.44429,0,0
PLNBRL,D,20200727,000000,1.38358,1.39162,1.38068,1.3837,0,0
PLNBTC,D,20200727,000000,0.00267,0.00267,0.00245,0.00247,0,0
PLNCAD,D,20200727,000000,0.35444,0.35908,0.35439,0.35782,0,0
PLNCHF,D,20200727,000000,0.24337,0.2466,0.24337,0.24626,0,0
PLNCLP,D,20200727,000000,205.152,206.024,204.561,205.316,0,0
PLNCNY,D,20200727,000000,1.85534,1.86439,1.85531,1.86353,0,0
PLNCZK,D,20200727,000000,5.95381,5.98892,5.94386,5.96388,0,0
PLNDKK,D,20200727,000000,1.68812,1.69543,1.68794,1.6945,0,0
PLNEGP,D,20200727,000000,4.25251,4.26595,4.23776,4.26048,0,0
PLNEUR,D,20200727,000000,0.22683,0.2278,0.22681,0.22767,0,0
PLNGBP,D,20200727,000000,0.20651,0.2081,0.20648,0.20783,0,0
PLNHKD,D,20200727,000000,2.04829,2.07954,2.04706,2.07383,0,0
PLNHRK,D,20200727,000000,1.70736,1.70736,1.70736,1.70736,0,0
PLNHUF,D,20200727,000000,78.5128,78.8282,78.2822,78.7595,0,0
PLNIDR,D,20200727,000000,38.5728,38.5728,38.5728,38.5728,0,0
PLNILS,D,20200727,000000,0.90779,0.91578,0.90455,0.91315,0,0
PLNINR,D,20200727,000000,19.8644,19.9093,19.845,19.8923,0,0
PLNISK,D,20200727,000000,35.8492,36.0647,35.791,36.034,0,0
PLNJPY,D,20200727,000000,28.0191,28.2086,27.986,28.1694,0,0
PLNKRW,D,20200727,000000,317.861,318.435,317.437,317.974,0,0
PLNMXN,D,20200727,000000,5.89267,5.92476,5.87799,5.88105,0,0
PLNMYR,D,20200727,000000,1.12815,1.13219,1.12738,1.12878,0,0
PLNNAD,D,20200727,000000,4.40494,4.4399,4.37561,4.39195,0,0
PLNNOK,D,20200727,000000,2.424,2.44019,2.41498,2.43578,0,0
PLNNZD,D,20200727,000000,0.39775,0.4011,0.39755,0.40049,0,0
PLNPHP,D,20200727,000000,13.088,13.1111,13.0659,13.0721,0,0
PLNRON,D,20200727,000000,1.09735,1.10072,1.09442,1.10012,0,0
PLNRUB,D,20200727,000000,19.0263,19.2303,18.9859,19.217,0,0
PLNSEK,D,20200727,000000,2.33462,2.34043,2.33045,2.33876,0,0
PLNSGD,D,20200727,000000,0.36544,0.36974,0.36516,0.36897,0,0
PLNTHB,D,20200727,000000,8.35793,8.44577,8.34779,8.41926,0,0
PLNTRY,D,20200727,000000,1.8085,1.85548,1.80766,1.85471,0,0
PLNTWD,D,20200727,000000,7.8135,7.82608,7.7842,7.79006,0,0
PLNUAH,D,20200727,000000,7.37463,7.37463,7.37463,7.37463,0,0
PLNUSD,D,20200727,000000,0.26419,0.2683,0.26408,0.26754,0,0
PLNXAG,D,20200727,000000,1.16177,1.16219,1.08294,1.10144,0,0
PLNXAU,D,20200727,000000,1.38913,1.39042,1.36757,1.38247,0,0
PLNXDR,D,20200727,000000,0.1888,0.1888,0.1888,0.1888,0,0
PLNXPD,D,20200727,000000,1.18623,1.20082,1.14918,1.16494,0,0
PLNXPT,D,20200727,000000,2.88665,2.88673,2.80897,2.8659,0,0
PLNZAR,D,20200727,000000,4.4107,4.41973,4.37452,4.39377,0,0
PLN_B,D,20200727,000000,4.12805,4.12881,4.09161,4.09787,0,0
PLN_B50,D,20200727,000000,4.09689,4.09772,4.05849,4.06516,0,0
PLN_I,D,20200727,000000,71.5338,71.7032,71.5331,71.6789,0,0
