<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUFEGP,D,20200727,000000,5.41893,5.43116,5.39317,5.4228,0,0
HUFEUR,D,20200727,000000,0.28891,0.28995,0.28865,0.28908,0,0
HUFGBP,D,20200727,000000,0.26303,0.26497,0.26288,0.26388,0,0
HUFHKD,D,20200727,000000,2.60928,2.64701,2.60682,2.63312,0,0
HUFHRK,D,20200727,000000,2.17364,2.17364,2.17364,2.17364,0,0
HUFIDR,D,20200727,000000,49.107,49.107,49.107,49.107,0,0
HUFILS,D,20200727,000000,1.1566,1.16538,1.15232,1.16092,0,0
HUFINR,D,20200727,000000,0.25321,0.25405,0.25258,0.25321,0,0
HUFISK,D,20200727,000000,0.45715,0.45903,0.45611,0.45754,0,0
HUFJPY,D,20200727,000000,0.35687,0.35906,0.35628,0.35766,0,0
HUFKRW,D,20200727,000000,4.04401,4.05535,4.039,4.05116,0,0
HUFMXN,D,20200727,000000,7.50658,7.54333,7.46369,7.4671,0,0
HUFMYR,D,20200727,000000,1.43574,1.44363,1.43467,1.43981,0,0
HUFNAD,D,20200727,000000,5.61139,5.6564,5.56622,5.5764,0,0
HUFNOK,D,20200727,000000,3.0874,3.10657,3.07727,3.09268,0,0
HUFNZD,D,20200727,000000,0.50661,0.51074,0.50613,0.50849,0,0
HUFPHP,D,20200727,000000,0.16666,0.16724,0.16639,0.16674,0,0
HUFPLN,D,20200727,000000,1.27368,1.27743,1.26854,1.26967,0,0
HUFRON,D,20200727,000000,1.39811,1.39986,1.3946,1.39902,0,0
HUFRUB,D,20200727,000000,0.24262,0.24456,0.24162,0.24438,0,0
HUFSEK,D,20200727,000000,2.97356,2.9825,2.96404,2.96949,0,0
HUFSGD,D,20200727,000000,0.46553,0.47073,0.46495,0.46847,0,0
HUFTHB,D,20200727,000000,0.10647,0.1075,0.10631,0.1069,0,0
HUFTRY,D,20200727,000000,2.30382,2.35601,2.3017,2.3549,0,0
HUFTWD,D,20200727,000000,0.09949,0.09969,0.09931,0.09937,0,0
HUFUAH,D,20200727,000000,9.38864,9.38864,9.38864,9.38864,0,0
